,0,1
194,79@5240,1913
195,28@2983,"1273,1956,605"
196,32@4347,"1874,596,1213,1567"
197,152@3895,445
198,78@5099,"208,1546,1657,1874"
199,112@4074,"1913,544,186"
200,64@2523,"508,1689,1213,2089,1567"
201,129@638,"186,1397,731"
202,151@1594,795
203,15@1590,"757,191"
204,110@3120,"186,609"
205,120@717,"1744,1283"
206,89@1453,"1072,2016,2016,949"
207,34@2960,"526,605"
208,88@4378,"941,152,246,1213"
209,54@3269,"294,1913,1657,285,1913"
210,145@2446,"1189,1455,2003,496,1956,1189"
211,128@5069,"1372,1869,268,1946,1407"
212,8@4021,"1479,1928"
213,98@1748,"2043,268,1688"
214,17@2081,"62,1873"
215,136@3831,"2079,1639,1273"
216,89@3810,"1189,1213,969,186,1564,969"
217,75@964,"142,1540,1874,61"
218,134@5160,1874
219,56@4810,"376,581,380,142,1397,1213"
220,38@2176,1546
221,118@1458,491
222,144@2838,"1874,1779,1162,761"
223,43@3542,"1172,1213,406,1213"
224,122@1964,"268,1873,1567,731,351,1100,491,255"
225,66@4564,186
226,138@977,1315
227,26@1762,"15,1479,1867"
228,4@608,1315
229,51@4543,"1565,1530,1866"
230,87@1133,"683,1796"
231,82@2149,"1874,724,724"
232,100@3357,1870
233,10@171,"941,163,2081"
234,134@4248,137
235,43@117,"77,1155,186,565,1928,77"
236,122@810,"268,635,1155,1527,565,1867"
237,43@1749,"1155,643,1368,1928,1941"
238,40@2264,"142,1650,1454,731"
239,88@4284,1671
240,96@4989,"1135,1273"
241,114@755,"1869,186,1479,479,2073,731"
242,90@1892,969
243,29@2813,1023
244,24@4984,268
245,62@1123,"186,62,1423,1669"
246,35@3779,"1479,1650"
247,45@3852,"186,643,445,1947"
248,30@720,"1889,640,115"
249,108@1790,"256,176"
250,147@2726,"1963,1302"
251,52@3851,"268,581,755,565,1921,1867,538"
252,118@505,"941,689,246,1863"
253,19@1862,"581,835,1928,268,1487"
254,76@4556,"77,635,565,1850,547"
255,53@4524,"965,77,258"
256,42@388,"845,689,1433,1213,1946"
257,29@2398,"293,268,77,565,342,1928,1867,77"
258,92@5206,596
259,109@560,"47,731,293"
260,46@899,1213
261,59@4865,"1372,268,77,445,1468"
262,136@722,2071
263,15@4847,"2043,1869,186,342,556"
264,126@1616,"246,731"
265,149@2010,"643,1315"
266,152@1323,268
267,10@817,"689,845,1267,101,137,1423,605"
268,31@2023,"2079,1530,1273,646,1273,1423"
269,67@1264,"1503,1231,444,1928,1977"
270,79@797,1347
271,109@3889,"1657,140"
272,75@2227,"1093,380,1363,526,1963"
273,62@969,"15,736,428"
274,137@3555,445
275,147@4548,"293,565,249,1956"
276,3@1989,"186,644"
277,109@707,2016
278,149@2488,"1213,694"
279,8@4623,764
280,4@2732,479
281,52@4931,"88,1397"
282,149@48,"1479,1009"
283,86@2220,"186,1542"
284,92@3665,"689,256"
285,75@202,"1093,53,1023,53,746"
286,76@1909,"152,1155,556,1599,1857"
287,146@3975,1273
288,92@4711,"1639,1273"
289,139@3454,1688
290,92@1318,"1273,1639,1423,662"
291,96@2278,"1023,479,969,2079,1732"
292,4@3946,"1189,1155,1155,777,1874,1243"
293,58@3776,"243,703,1874,449"
294,15@193,"1189,689,1048,736,596"
295,105@3461,"268,929,460,460"
296,145@2084,"1023,526"
297,147@4436,"1418,89,937,319"
298,7@4637,"293,565,62,293"
299,14@2454,"941,479"
300,50@71,"1953,142,1692,1418,1548,941,243,1548,1623,596,694,1023,987,1210,731,731,163"
301,64@1179,"705,705"
302,59@998,"460,307,288"
303,65@4180,1546
304,135@3664,1397
305,51@2997,"1507,1715"
306,66@4340,"1177,77"
307,129@2875,"1674,1397,1869,246,1213"
308,88@3565,795
309,1@3630,"835,406,1567,777"
310,75@2586,"380,1363,2071,1023"
311,59@366,1142
312,113@1906,"694,422,731,694,428"
313,22@264,1928
314,93@4659,"137,969,689,137,445,1213,1570"
315,142@2011,"1951,268"
316,4@4228,"564,1354,568,428,2003,1213,361,1169"
317,39@2818,"1093,777,62"
318,7@869,"1650,186,1514,1873,47,1873,1248,428,1248"
319,138@316,"730,445,1104"
320,152@4248,163
321,48@677,"206,77,777,501,1867,361,1869,268,2001,353,187"
322,99@4077,"736,1397,1172,246"
323,67@3465,"581,1530,1874,1134"
324,99@383,"1487,1479"
325,9@4445,1232
326,146@1778,"509,1522"
327,30@4174,"736,1567,2046"
328,60@223,777
329,32@3047,"689,1874,1213"
330,18@1878,"2024,689,1692,1418,268,1692"
331,105@3790,"777,1078,1986"
332,75@2353,1873
333,88@1618,"152,1234,1397,1952,642,385,1725,605,731,731"
334,28@623,"689,186,1126,731"
335,118@2781,"1674,581,1567,596,115"
336,10@3019,1632
337,31@4643,"605,705,605"
338,8@1511,"992,592"
339,2@1784,"1213,31,445,736,709"
340,99@939,"1023,249"
341,83@4918,"1874,1213"
342,100@1653,"1294,1567,1213"
343,15@421,"1327,294,1479,1986,182"
344,115@2757,1273
345,89@521,1479
346,44@2688,"1372,268,545,565"
347,106@2645,"1714,1963"
348,128@1081,"2079,1874"
349,40@2744,"694,1104"
350,10@2214,355
351,20@4439,"581,1479,559,596,1243"
352,1@5127,"146,186"
