,0,1
61,2703,"[[565, 3.9242343145200196], [2084, 3.9242343145200196]]"
62,1822,"[[274, 3.9242343145200196], [1900, 3.9242343145200196], [539, 3.9242343145200196], [1514, 3.9242343145200196], [1155, 3.9242343145200196], [77, 3.9242343145200196], [1874, 3.9242343145200196], [1350, 3.9242343145200196], [1928, 3.9242343145200196], [1213, 3.9242343145200196], [521, 3.9242343145200196]]"
63,4097,"[[268, 3.9242343145200196], [1419, 3.9242343145200196], [1874, 3.9242343145200196], [736, 3.9242343145200196], [361, 3.9242343145200196], [62, 4.523188311911529], [845, 3.9242343145200196]]"
64,551,"[[1096, 4.810296507289733], [1567, 4.973228596302861], [1210, 3.9242343145200196], [1423, 3.9242343145200196], [1946, 3.9242343145200196], [1397, 3.9242343145200196], [186, 4.523188311911529], [1023, 3.9242343145200196], [1091, 3.9242343145200196], [1692, 3.9242343145200196], [736, 3.9242343145200196], [1178, 3.9242343145200196], [1093, 3.9242343145200196], [1548, 3.9242343145200196], [246, 3.9242343145200196], [1213, 3.9242343145200196], [1078, 3.9242343145200196]]"
65,4285,"[[1975, 3.9242343145200196], [324, 4.810296507289733], [655, 4.523188311911529], [1873, 3.9242343145200196], [142, 4.523188311911529], [191, 4.523188311911529], [230, 4.9986585994781345], [1213, 3.9242343145200196], [206, 3.9242343145200196], [70, 3.9242343145200196], [1009, 3.9242343145200196], [1023, 3.9242343145200196], [581, 3.9242343145200196], [1714, 4.523188311911529], [1224, 3.9242343145200196], [186, 4.523188311911529], [152, 3.9242343145200196], [976, 4.523188311911529], [1599, 3.9242343145200196], [678, 3.9242343145200196], [270, 3.9242343145200196], [943, 3.9242343145200196], [1953, 3.9242343145200196], [1418, 3.9242343145200196], [1267, 3.9242343145200196], [731, 3.9242343145200196]]"
66,349,"[[845, 3.9242343145200196], [62, 3.9242343145200196], [569, 3.9242343145200196], [1869, 3.9242343145200196], [61, 3.9242343145200196], [736, 3.9242343145200196], [1315, 3.9242343145200196], [1956, 3.9242343145200196], [176, 3.9242343145200196], [992, 3.9242343145200196], [1503, 3.9242343145200196], [1529, 3.9242343145200196], [1172, 3.9242343145200196], [186, 4.523188311911529], [689, 3.9242343145200196]]"
67,3252,"[[761, 3.9242343145200196]]"
68,184,"[[28, 3.9242343145200196]]"
69,4091,"[[246, 3.9242343145200196]]"
70,1285,"[[1674, 4.523188311911529], [835, 4.523188311911529], [738, 3.9242343145200196], [1189, 3.9242343145200196], [268, 4.928055160151634], [607, 4.523188311911529], [1874, 4.523188311911529], [1213, 4.523188311911529], [166, 3.9242343145200196], [1956, 4.523188311911529], [1355, 3.9242343145200196], [643, 3.9242343145200196], [1369, 3.9242343145200196], [15, 3.9242343145200196], [718, 3.9242343145200196], [969, 3.9242343145200196], [1155, 3.9242343145200196], [83, 3.9242343145200196], [123, 4.523188311911529], [565, 3.9242343145200196], [1582, 3.9242343145200196], [1947, 3.9242343145200196], [1543, 3.9242343145200196], [1928, 3.9242343145200196], [545, 3.9242343145200196], [460, 3.9242343145200196]]"
71,5180,"[[777, 3.9242343145200196], [479, 3.9242343145200196], [941, 4.523188311911529], [1931, 3.9242343145200196], [1567, 4.523188311911529], [367, 3.9242343145200196], [1676, 3.9242343145200196], [1096, 4.523188311911529], [1963, 3.9242343145200196], [246, 3.9242343145200196], [1423, 3.9242343145200196], [1714, 3.9242343145200196], [1213, 3.9242343145200196], [1279, 3.9242343145200196], [385, 3.9242343145200196]]"
72,886,"[[2016, 4.928055160151634], [1574, 3.9242343145200196], [130, 3.9242343145200196]]"
73,3892,"[[468, 3.9242343145200196], [2016, 4.810296507289733], [1423, 3.9242343145200196], [1047, 3.9242343145200196], [1913, 3.9242343145200196]]"
74,5112,"[[757, 3.9242343145200196], [328, 3.9242343145200196]]"
75,896,"[[1652, 3.9242343145200196], [955, 3.9242343145200196], [1273, 3.9242343145200196]]"
76,2555,"[[1023, 3.9242343145200196]]"
77,4077,"[[1692, 3.9242343145200196], [256, 3.9242343145200196], [736, 3.9242343145200196], [1397, 3.9242343145200196], [1172, 3.9242343145200196], [246, 3.9242343145200196], [15, 3.9242343145200196], [1126, 3.9242343145200196], [1423, 3.9242343145200196], [142, 3.9242343145200196], [703, 3.9242343145200196], [1023, 3.9242343145200196], [1521, 3.9242343145200196], [62, 3.9242343145200196], [61, 3.9242343145200196], [1213, 3.9242343145200196], [851, 3.9242343145200196]]"
78,530,"[[965, 3.9242343145200196], [268, 4.523188311911529], [186, 4.810296507289733], [246, 4.810296507289733], [61, 3.9242343145200196], [1213, 4.810296507289733], [351, 3.9242343145200196], [1397, 3.9242343145200196], [1290, 3.9242343145200196], [255, 3.9242343145200196], [324, 3.9242343145200196], [1869, 4.523188311911529], [1423, 4.523188311911529], [1189, 4.928055160151634], [379, 3.9242343145200196], [845, 3.9242343145200196], [1744, 3.9242343145200196], [1874, 3.9242343145200196], [62, 3.9242343145200196], [1155, 3.9242343145200196], [806, 3.9242343145200196], [1567, 4.523188311911529], [596, 3.9242343145200196], [2001, 3.9242343145200196], [142, 3.9242343145200196], [581, 3.9242343145200196], [1899, 3.9242343145200196], [509, 4.810296507289733], [731, 3.9242343145200196], [1350, 3.9242343145200196], [1441, 3.9242343145200196], [436, 3.9242343145200196], [1928, 4.810296507289733], [42, 3.9242343145200196], [274, 3.9242343145200196], [1847, 3.9242343145200196], [1432, 3.9242343145200196], [1873, 3.9242343145200196], [309, 3.9242343145200196], [407, 3.9242343145200196], [364, 3.9242343145200196], [969, 3.9242343145200196], [352, 3.9242343145200196]]"
79,2583,"[[2016, 3.9242343145200196]]"
80,2453,"[[1714, 3.9242343145200196], [1155, 3.9242343145200196], [793, 3.9242343145200196], [556, 3.9242343145200196], [445, 3.9242343145200196], [180, 3.9242343145200196], [268, 3.9242343145200196], [1905, 3.9242343145200196], [835, 4.523188311911529], [1970, 3.9242343145200196], [845, 3.9242343145200196], [1216, 3.9242343145200196], [1928, 3.9242343145200196]]"
81,2142,"[[2089, 3.9242343145200196]]"
82,2771,"[[590, 3.9242343145200196], [1096, 3.9242343145200196], [1567, 3.9242343145200196], [809, 3.9242343145200196], [130, 3.9242343145200196]]"
83,3802,"[[1946, 3.9242343145200196], [777, 3.9242343145200196], [969, 3.9242343145200196]]"
