,0,1,2
85,101@1688,"[[1869, 1], [137, 1], [757, 1], [1533, 1], [137, 1]]",5.0
86,44@2612,"[[376, 1], [1714, 1], [1126, 1], [1479, 1], [246, 1], [176, 1]]",5.0
87,30@3866,"[[1873, 1]]",4.0
88,8@2221,"[[1155, 1], [1479, 1], [965, 1]]",4.0
89,125@4193,"[[941, 1], [1931, 1], [835, 1], [975, 1], [539, 1]]",4.0
90,111@1337,"[[941, 1], [948, 1], [1368, 1], [1423, 1]]",5.0
91,46@3261,"[[1048, 1]]",3.0
92,126@474,"[[460, 1], [1948, 1]]",4.0
93,38@5256,"[[1870, 1], [901, 1], [1033, 1]]",4.0
94,42@762,"[[491, 1]]",4.0
95,56@2531,"[[590, 1], [137, 1], [646, 1], [1643, 1], [1475, 1], [1869, 1], [876, 1], [1315, 1], [1172, 1], [305, 1], [708, 1]]",4.5
96,72@2751,"[[689, 1], [186, 1]]",1.0
97,16@4665,"[[694, 1]]",2.0
98,56@4024,"[[1096, 1], [1213, 1]]",2.0
99,81@4787,"[[1707, 1]]",5.0
100,37@1498,"[[941, 1], [268, 1], [777, 1], [643, 1], [324, 1]]",5.0
101,8@4050,"[[1104, 1]]",4.0
102,94@765,"[[835, 1], [1155, 1], [186, 1], [607, 1], [1213, 1], [1204, 1], [492, 1], [246, 1], [1213, 1]]",4.0
103,108@810,"[[1372, 1], [1869, 1], [268, 1], [607, 1], [1479, 1], [1009, 1], [850, 1]]",3.0
104,103@1629,"[[353, 1], [777, 1]]",3.5
105,70@2511,"[[1414, 1]]",5.0
106,106@2816,"[[810, 1]]",4.0
107,38@4080,"[[1372, 1], [1142, 1], [337, 1], [268, 1], [324, 1]]",4.0
108,9@456,"[[202, 1], [1155, 1], [1744, 1], [1514, 1]]",4.0
109,100@700,"[[1213, 1], [87, 1]]",4.0
110,144@5211,"[[137, 1]]",4.0
111,145@506,"[[992, 1], [1956, 1], [605, 1]]",5.0
112,45@2184,"[[992, 1]]",5.0
113,11@2950,"[[77, 1], [551, 1]]",4.0
114,93@2367,"[[736, 1], [1044, 1], [1368, 1]]",4.0
115,88@4306,"[[549, 1], [249, 1], [549, 1]]",4.0
116,18@268,"[[1931, 1]]",3.0
117,81@4686,"[[1869, 1]]",5.0
118,42@235,"[[581, 1], [278, 1], [246, 1]]",5.0
119,83@3137,"[[1186, 1]]",4.0
120,31@229,"[[186, 1]]",1.0
121,3@3466,"[[15, 1]]",3.0
122,144@5033,"[[605, 1], [186, 1], [703, 1], [1874, 1], [1213, 1]]",5.0
123,145@2029,"[[1692, 1], [1172, 1]]",5.0
124,115@1413,"[[1928, 1], [476, 1], [1213, 1]]",2.5
125,92@4249,"[[565, 1], [1930, 1], [1368, 1]]",4.0
126,14@805,"[[581, 1], [1096, 1], [1155, 1]]",4.0
127,101@3343,"[[605, 1]]",5.0
128,38@2070,"[[943, 1], [646, 1], [1213, 1], [2089, 1], [605, 1]]",5.0
129,15@5247,"[[941, 1]]",4.0
130,61@1824,"[[15, 1], [1530, 1], [1213, 1], [1632, 1], [596, 1]]",2.5
131,54@653,"[[268, 1], [1543, 1], [385, 1], [278, 1], [1928, 1]]",3.0
132,102@5016,"[[1096, 1], [186, 1], [385, 1]]",4.0
133,88@3194,"[[1023, 1], [428, 1], [115, 1]]",5.0
134,92@2123,"[[591, 1]]",5.0
135,92@84,"[[1978, 1], [711, 1], [1978, 1]]",3.0
136,99@2230,"[[1273, 1]]",5.0
137,42@330,"[[1978, 1], [1368, 1], [88, 1]]",4.0
138,120@313,"[[2016, 1], [163, 1], [2091, 1], [125, 1]]",4.0
139,138@2812,"[[1963, 1], [1583, 1], [249, 1], [941, 1], [705, 1], [246, 1]]",4.5
140,76@3244,"[[88, 1]]",1.0
141,101@5162,"[[121, 1], [1875, 1]]",4.0
142,147@1648,"[[1172, 1], [1467, 1]]",4.0
143,16@4249,"[[1978, 1], [500, 1], [1978, 1]]",4.0
144,140@5159,"[[1023, 1]]",4.0
145,4@3306,"[[15, 1], [1536, 1], [1273, 1], [455, 1], [61, 1], [61, 1], [1093, 1], [1546, 1], [1023, 1], [245, 1]]",3.0
146,39@3855,"[[1372, 1], [268, 1], [635, 1], [491, 1], [1527, 1], [839, 1], [606, 1], [1369, 1], [1141, 1], [1548, 1]]",5.0
147,0@2071,"[[518, 1]]",1.0
148,80@3327,"[[25, 1]]",2.0
149,67@1113,"[[592, 1], [142, 1], [1155, 1], [486, 1], [605, 1], [1104, 1], [142, 1]]",4.0
150,101@4130,"[[1340, 1], [565, 1], [1209, 1], [1400, 1], [1811, 1]]",4.0
151,66@1638,"[[1155, 1], [186, 1], [1874, 1], [1213, 1]]",4.0
152,67@1500,"[[1093, 1], [1023, 1], [1273, 1], [1888, 1], [289, 1]]",2.0
153,93@4925,"[[689, 1], [581, 1], [142, 1], [1014, 1], [1850, 1]]",2.0
154,151@703,"[[1874, 1], [1210, 1], [1981, 1], [1078, 1], [1096, 1], [731, 1]]",5.0
155,150@2275,"[[77, 1], [460, 1], [342, 1], [969, 1], [83, 1]]",3.0
156,79@735,"[[835, 1], [565, 1], [545, 1], [596, 1], [1928, 1]]",3.0
157,121@2234,"[[835, 1], [1928, 1], [1867, 1], [268, 1]]",4.0
158,93@4931,"[[268, 1], [1278, 1], [88, 1]]",1.0
159,145@2202,"[[1632, 1], [294, 1], [445, 1], [1094, 1]]",2.0
160,149@3844,"[[694, 1], [1104, 1]]",5.0
161,134@4998,"[[268, 1], [2005, 1]]",5.0
162,147@4872,"[[137, 1], [537, 1], [1475, 1], [1189, 1]]",4.0
163,88@941,"[[526, 1], [1016, 1], [428, 1], [969, 1]]",4.0
164,139@185,"[[1155, 1], [1397, 1], [1514, 1], [83, 1]]",4.0
165,39@3486,"[[736, 1], [777, 1], [1278, 1]]",4.0
166,22@233,"[[835, 1]]",4.0
167,41@3410,"[[498, 1], [2016, 1]]",4.5
168,50@3185,"[[268, 1], [1096, 1], [915, 1], [604, 1]]",2.0
169,116@3744,"[[1947, 1], [246, 1], [1423, 1]]",4.0
170,65@658,"[[1650, 1], [1023, 1]]",5.0
171,113@4052,"[[1078, 1], [1874, 1]]",3.0
172,88@5116,"[[1869, 1], [1189, 1], [142, 1], [501, 1], [102, 1]]",3.0
173,105@1267,"[[1273, 1]]",4.0
174,88@1435,"[[428, 1], [2048, 1]]",4.0
175,99@879,"[[186, 1], [1567, 1]]",3.0
176,71@4415,"[[757, 1], [777, 1], [607, 1], [1479, 1], [1273, 1]]",3.0
177,77@4854,"[[2055, 1], [1093, 1]]",4.0
178,30@27,"[[1869, 1], [1889, 1], [1096, 1], [1155, 1], [1983, 1], [545, 1], [1567, 1], [556, 1], [445, 1], [1213, 1], [731, 1], [840, 1]]",3.0
179,136@374,"[[1913, 1]]",4.0
180,126@1048,"[[441, 1], [738, 1], [1213, 1]]",3.0
181,131@743,"[[643, 1], [342, 1], [1867, 1]]",5.0
182,50@1042,"[[207, 1]]",4.0
183,39@101,"[[1096, 1], [1023, 1], [1479, 1], [1213, 1], [2089, 1], [1567, 1]]",4.0
184,92@1382,"[[1273, 1], [62, 1]]",4.0
185,61@3312,"[[186, 1], [1213, 1]]",4.0
186,108@3010,"[[592, 1], [1941, 1]]",4.0
187,62@1671,"[[2031, 1], [1423, 1]]",3.0
188,38@945,"[[55, 1]]",4.0
189,19@4265,"[[491, 1], [1632, 1]]",5.0
190,104@2343,"[[1574, 1], [1213, 1]]",4.0
191,40@1690,"[[142, 1], [694, 1]]",5.0
192,125@2486,"[[77, 1], [460, 1], [1452, 1], [565, 1]]",4.0
193,94@2672,"[[2016, 1], [294, 1], [586, 1], [1690, 1], [125, 1]]",4.0
194,79@5240,"[[1913, 1]]",5.0
195,28@2983,"[[1273, 1], [1956, 1], [605, 1]]",5.0
196,32@4347,"[[1874, 1], [596, 1], [1213, 1], [1567, 1]]",4.0
197,152@3895,"[[445, 1]]",4.0
198,78@5099,"[[208, 1], [1546, 1], [1657, 1], [1874, 1]]",5.0
199,112@4074,"[[1913, 1], [544, 1], [186, 1]]",5.0
200,64@2523,"[[508, 1], [1689, 1], [1213, 1], [2089, 1], [1567, 1]]",3.0
201,129@638,"[[186, 1], [1397, 1], [731, 1]]",4.0
202,151@1594,"[[795, 1]]",4.0
203,15@1590,"[[757, 1], [191, 1]]",4.0
204,110@3120,"[[186, 1], [609, 1]]",3.0
205,120@717,"[[1744, 1], [1283, 1]]",4.0
206,89@1453,"[[1072, 1], [2016, 1], [2016, 1], [949, 1]]",4.0
207,34@2960,"[[526, 1], [605, 1]]",3.0
208,88@4378,"[[941, 1], [152, 1], [246, 1], [1213, 1]]",3.0
209,54@3269,"[[294, 1], [1913, 1], [1657, 1], [285, 1], [1913, 1]]",4.66666666667
210,145@2446,"[[1189, 1], [1455, 1], [2003, 1], [496, 1], [1956, 1], [1189, 1]]",2.0
211,128@5069,"[[1372, 1], [1869, 1], [268, 1], [1946, 1], [1407, 1]]",4.0
212,8@4021,"[[1479, 1], [1928, 1]]",4.0
213,98@1748,"[[2043, 1], [268, 1], [1688, 1]]",3.0
214,17@2081,"[[62, 1], [1873, 1]]",2.0
215,136@3831,"[[2079, 1], [1639, 1], [1273, 1]]",4.0
216,89@3810,"[[1189, 1], [1213, 1], [969, 1], [186, 1], [1564, 1], [969, 1]]",4.0
217,75@964,"[[142, 1], [1540, 1], [1874, 1], [61, 1]]",5.0
218,134@5160,"[[1874, 1]]",5.0
219,56@4810,"[[376, 1], [581, 1], [380, 1], [142, 1], [1397, 1], [1213, 1]]",4.0
220,38@2176,"[[1546, 1]]",5.0
221,118@1458,"[[491, 1]]",3.0
222,144@2838,"[[1874, 1], [1779, 1], [1162, 1], [761, 1]]",5.0
223,43@3542,"[[1172, 1], [1213, 1], [406, 1], [1213, 1]]",3.0
224,122@1964,"[[268, 1], [1873, 1], [1567, 1], [731, 1], [351, 1], [1100, 1], [491, 1], [255, 1]]",4.0
225,66@4564,"[[186, 1]]",1.0
226,138@977,"[[1315, 1]]",4.0
227,26@1762,"[[15, 1], [1479, 1], [1867, 1]]",4.0
228,4@608,"[[1315, 1]]",3.0
229,51@4543,"[[1565, 1], [1530, 1], [1866, 1]]",5.0
230,87@1133,"[[683, 1], [1796, 1]]",3.0
231,82@2149,"[[1874, 1], [724, 1], [724, 1]]",5.0
